timestamp,text,start,end
"(0.0, 5.0)"," So, thank you. It's a great pleasure to join you at this gathering.",0.0,5.0
"(5.86, 13.18)", And I'm going to focus my attention on an area of physics,5.86,13.18
"(13.18, 20.78)"," that I think fits in well with the themes that you have been hearing about in other arenas, other areas.",13.18,20.78
"(21.2, 54.01)"," Because I'm going to be talking about the science of black holes. and observationally supported, but in the next age can migrate to canonical form, to everything that everybody always thought was true, everything everybody",21.2,54.01
"(54.01, 60.45)"," thought was right. So in a way, if I was going to give one takeaway message, if I",54.01,60.45
"(60.45, 99.79)"," can use that unfortunate language for what I'll be talking about here today, to be true and the things that you do not consider to be true, you can inadvertently cut out a whole collection of ideas that you simply at that moment in time don't have the",60.45,99.79
"(99.79, 102.71)", intellectual architecture to judge.,99.79,102.71
"(103.53, 109.63)", And that certainly is the case with the science of black holes.,103.53,109.63
"(110.15, 140.5)"," Now, I recognize that people come to to give everybody a little bit of something, I'm going to start fairly basic. And then as I get toward the end of the talk, I will",110.15,140.5
"(140.5, 146.52)", be taking on things that are right now at the cutting edge. And as Barry just mentioned,140.5,146.52
"(146.52, 224.05)"," to me, since this is the last talk, don't yet know if they are right or wrong. deeply in a quantitative way about the force of gravity is Isaac Newton and If you cast your minds way back to the late",146.52,224.05
"(230.51, 231.07)", 1600s again a very different era than the one that we experience a time in fact when,230.51,231.07
"(236.27, 236.83)", The Black Death was waging a winning war against humanity and to escape the scourge,236.27,236.83
"(267.92, 274.16)", Newton retreats to his family's back to the University of Cambridge he would throw into dazzling relief a fundamental fact a fundamental law about how the universe works and that of course is the law of gravity the universal law of gravity it's a law,267.92,274.16
"(274.72, 311.99)", that we still teach to kids around the world you all know it f equals Sun a planet like the earth and using that little bit of mathematics we can make predictions for where the planet should be at any given moment and the wonderful thing is you look up into the night sky,274.72,311.99
"(311.99, 318.95)", and the planets are just where the mathematics says that they should be so,311.99,318.95
"(318.95, 352.13)"," this was one of those astonishing's not the end of a story, right? That's the beginning of a story",318.95,352.13
"(352.13, 353.95)", because now you can take an idea,352.13,353.95
"(353.95, 356.45)", which was previously only understood,353.95,356.45
"(356.45, 358.33)"," in a qualitative sense,",356.45,358.33
"(358.51, 361.51)"," and now you can put quantitative power,",358.51,361.51
"(362.09, 365.25)"," mathematical rigor behind those phenomenon,",362.09,365.25
"(365.93, 394.92)"," and in that way, try to go further. of escape velocity. So once you understand gravity, you can ask yourself the question, if you say you have a planet, let's focus on planet Earth, and you have a cannon,",365.93,394.92
"(396.7, 399.08)"," you can ask yourself what happens if you fire the cannon, say,",396.7,399.08
"(399.16, 400.42)", in a vertical direction.,399.16,400.42
"(400.84, 402.56)"," Now, of course, if you just give",400.84,402.56
"(402.56, 404.86)"," the cannonball a little bit of a kick,",402.56,404.86
"(404.94, 406.12)", we all know what happens.,404.94,406.12
"(406.74, 408.32)"," It goes up, comes down.",406.74,408.32
"(408.42, 441.47)"," In fact, using Newton's laws, you give that ball enough of a kick and it won't come down. It will escape the gravitational pull of the earth. And in fact using that equation on the t-shirt",408.42,441.47
"(441.47, 446.05)", you can calculate the speed that you need to give the cannonball in order,441.47,446.05
"(446.05, 480.91)", that it will not come down. And the answer is? That's right the answer is? second row there good all right so that's absolutely true but now an interesting theoretical question comes to mind which is this that number depends upon the size of the earth so the question people ask was well like,446.05,480.91
"(480.91, 486.09)", what if you make the earth bigger right a bigger planet and you want again to,480.91,486.09
"(486.09, 489.79)", cause a cannonball to escape well you need a more powerful cannon if the,486.09,489.79
"(489.79, 493.69)", planet is larger and again using Newton's laws you can calculate kick it,489.79,493.69
"(493.69, 523.94)"," with a sufficient speed and it will depend upon the units that you like to use. Some wise person will say, well, it's one in the appropriate units.",493.69,523.94
"(524.32, 525.7)"," But, you know, which is true.",524.32,525.7
"(526.96, 531.56)"," 186,000 miles per second, 671 million miles per hour,",526.96,531.56
"(531.72, 534.5)"," 300 million meters per hour, whatever unit you like,",531.72,534.5
"(534.72, 536.68)"," there is a speed of light, right?",534.72,536.68
"(536.68, 566.97)", And that is a number. way back when what would happen if you had say a star which if you think about it a star is nothing but a sequence of light cannons all around the surface of,536.68,566.97
"(566.97, 572.31)", the body that are firing balls of light outward and the question is if you have,566.97,572.31
"(572.31, 578.41)", a star and you imagine it getting ever more massive then the escape velocity,572.31,578.41
"(578.41, 609.33)", will go up and up and at some point A body whose gravitational pull is so powerful that light cannot escape.,578.41,609.33
"(609.33, 617.33)"," Now here's the thing. This analysis that was done by Mitchell way back 1700s using Newton's laws of gravity,",609.33,617.33
"(617.33, 651.48)"," but Newton himself knew that his understanding of gravity was incomplete. that gives you the strength of the gravitational pull of a massive body, he was unable to answer the question of how gravity actually exerts its influence.",617.33,651.48
"(651.68, 654.16)"," If you have the sun here and you have the earth here,",651.68,654.16
"(654.46, 657.16)", you've basically got empty space between them.,654.46,657.16
"(657.72, 661.26)", And Newton wondered and he pondered and he couldn't figure out,657.72,661.26
"(661.26, 666.14)", how it could be that one body over here could affect another body over here,661.26,666.14
"(666.14, 694.39)", without any mutual contact. Newton asked himself and indeed in his Principia He writes that the answer to that important question how gravity exerts its influence. He said I leave that,666.14,694.39
"(694.91, 697.65)", to the consideration of the reader,694.91,697.65
"(700.37, 705.39)"," All right, he knew it was an open problem he couldn't figure out and said you figure it out right and",700.37,705.39
"(706.19, 738.41)"," Nobody could figure it out, right? Most people didn't even think about it until look at the most basic of questions and just see them differently. So starting in about 1907, Einstein focuses his attention on trying to figure out",706.19,738.41
"(738.41, 743.37)", how the force of gravity works.,738.41,743.37
"(743.37, 746.01)"," And others at the time,",743.37,746.01
"(746.01, 780.88)"," some of the most respected, ruin your career if you focus on a problem of that nature and These were the kinds of people whose advice you should trust right these were the individuals",746.01,780.88
"(781.4, 786.28)", That had transformed our understanding of the world in an earlier,781.4,786.28
"(786.84, 790.42)", Era an earlier generation and yet the whole,786.84,790.42
"(791.06, 822.25)", power of science is that you can have new thinkers come along and about eight ten years later he comes up with what he believes to be the answer for how gravity works I think many of you are familiar with the idea for those,791.06,822.25
"(822.25, 826.15)", that aren't let me just say it in metaphor first and I'll show you a,822.25,826.15
"(826.15, 829.91)", little visual on it Einstein basically says look if the,826.15,829.91
"(829.91, 833.57)", puzzle is you got the Sun here you got the earth here and there's only empty,829.91,833.57
"(833.57, 865.09)", space between them right so how could they be influencing each other he says part of the dynamical unfolding and that's a startling idea and yet it's the one that he pursues and ultimately turns it into a rigorous mathematical,833.57,865.09
"(865.09, 869.59)", formulation so the metaphorical version goes like this forget about gravity in,865.09,869.59
"(869.59, 872.47)", the universe for a moment a little complicated instead think about a rubber,869.59,872.47
"(872.47, 877.35)", sheet that stretched nice and taut between us right here imagine I take a,872.47,877.35
"(877.35, 907.48)"," marble and I set it rolling on the you can picture it doesn't go in the same straight line trajectory any longer. Now, instead, the marble goes in a curved trajectory because it's rolling on the curved",877.35,907.48
"(907.48, 909.1)", surface of the rubber sheet.,907.48,909.1
"(909.72, 912.84)"," That's the basic idea, but now we take it over to the universe.",909.72,912.84
"(912.92, 914.66)"," Instead of a rubber sheet, space.",912.92,914.66
"(915.34, 952.99)"," Instead of a bowling ball, think of any astronomical object, and the idea is merely by virtue of version that will capture all the ideas. So as you see, space is flat when there's nothing there, but if we bring in a massive body like the sun, the fabric curves. And the earth too, it also curves",915.34,952.99
"(952.99, 958.31)"," the environment around it. And now focus your attention on the moon, because this is the point.",952.99,958.31
"(959.21, 993.95)"," The moon is kept in orbit because it's not just pictures, animation, there's mathematics behind this, right? Slightly more complicated mathematics than Newton's",959.21,993.95
"(993.95, 997.57)", formula that we teach to high school kids but there you see it again,993.95,997.57
"(997.57, 1000.57)", fits nicely,997.57,1000.57
"(1000.57, 1003.81)", with the right font size on a t-shirt.,1000.57,1003.81
"(1003.81, 1040.08)", And that mathematics allows you to make predictions. here when the earth is on that side of the Sun compared to six months later when the earth is on the other side of the Sun and that light has to go through the curved region near the Sun and his mathematics predicts the angle between,1003.81,1040.08
"(1040.08, 1044.58)", the straight trajectory six months earlier and the curved trajectory six,1040.08,1044.58
"(1044.58, 1078.55)"," months later and that prediction is ultimately borne out through of the eclipse observations, Einstein theory triumph, stars not where they seemed or were calculated to be, but nobody need worry.",1044.58,1078.55
"(1083.41, 1088.41)"," On September 22nd, 1919, Einstein gets a telegram alerting him to the success of the observations.",1083.41,1088.41
"(1088.57, 1091.39)"," He's with a student at the time, Elise Schneider,",1088.57,1091.39
"(1091.39, 1124.63)"," and she says to him, Professor Einstein, So with that great success, again, people notice. People pay attention. And one particular mathematician, scientist named Karl Schwarzschild,",1091.39,1124.63
"(1125.07, 1129.99)"," who at the time was actually stationed at the Russian front during World War I,",1125.07,1129.99
"(1130.85, 1135.59)", he starts to think about Einstein's ideas,1130.85,1135.59
"(1135.59, 1164.04)"," and comes to sort of an amazing conclusion. him, fortuitously for us, Einstein's manuscript just happens to float out of space, drops into his hand, a hand I should say for you skeptics that looks just like my hand for whatever reason,",1135.59,1164.04
"(1164.14, 1169.76)", but he starts to calculate with Einstein's manuscript and he realizes that if you have,1164.14,1169.76
